timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_11_density,genotype_10_density,genotype_12_density,genotype_13_density,genotype_14_density
35,727,30,0.0,0.005502063273727648,0.0041265474552957355,0.9,67.36052454133576,10,0.9807427785419532,0.002751031636863824,0.0041265474552957355,0.002751031636863824,0.002751031636863824,0.001375515818431912,0.001375515818431912,0.001375515818431912,0.001375515818431912,0.001375515818431912,,,,,
36,738,30,0.0,0.005420054200542005,0.0040650406504065045,0.9,66.81299344218586,10,0.9796747967479674,0.0027100271002710027,0.0040650406504065045,0.0040650406504065045,0.0027100271002710027,0.0013550135501355014,0.0013550135501355014,0.0013550135501355014,0.0013550135501355014,0.0013550135501355014,,,,,
37,757,30,0.0,0.005284015852047556,0.003963011889035667,0.9090909090909091,66.20298259409891,11,0.9788639365918098,0.002642007926023778,0.003963011889035667,0.003963011889035667,0.002642007926023778,0.001321003963011889,0.001321003963011889,0.001321003963011889,0.001321003963011889,0.001321003963011889,,,,,
38,768,30,0.0,0.005208333333333333,0.00390625,0.9090909090909091,65.68124504789436,11,0.9791666666666666,0.0026041666666666665,0.00390625,0.00390625,0.0026041666666666665,0.0013020833333333333,0.0013020833333333333,0.0013020833333333333,0.0013020833333333333,0.0013020833333333333,,,,,
39,782,30,0.0,0.005115089514066497,0.005115089514066497,0.9166666666666666,65.14649903921871,12,0.9782608695652174,0.0025575447570332483,0.0038363171355498722,0.0038363171355498722,0.0025575447570332483,0.0012787723785166241,0.0012787723785166241,0.0012787723785166241,0.0012787723785166241,0.0012787723785166241,,,,,
40,802,30,0.0,0.004987531172069825,0.004987531172069825,0.9166666666666666,64.57984339198897,12,0.9775561097256857,0.0024937655860349127,0.003740648379052369,0.003740648379052369,0.0024937655860349127,0.0024937655860349127,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,,,,,
41,816,30,0.0,0.004901960784313725,0.004901960784313725,0.9166666666666666,64.07086469920222,12,0.9779411764705882,0.0024509803921568627,0.003676470588235294,0.003676470588235294,0.0024509803921568627,0.0024509803921568627,0.0012254901960784314,0.0012254901960784314,0.0012254901960784314,0.0012254901960784314,,,,,
42,829,30,0.0,0.0048250904704463205,0.0048250904704463205,0.9166666666666666,63.582400810629444,12,0.9782870928829915,0.0024125452352231603,0.0036188178528347406,0.0036188178528347406,0.0024125452352231603,0.0024125452352231603,0.0012062726176115801,0.0012062726176115801,0.0012062726176115801,0.0012062726176115801,,,,,
43,851,30,0.0,0.004700352526439483,0.005875440658049354,0.9230769230769231,63.06796874348612,13,0.9741480611045829,0.0023501762632197414,0.004700352526439483,0.0035252643948296123,0.0035252643948296123,0.0035252643948296123,0.0011750881316098707,0.0011750881316098707,0.0011750881316098707,0.0011750881316098707,,,,,
44,866,30,0.0,0.006928406466512702,0.005773672055427252,0.9230769230769231,62.577650238192646,13,0.9745958429561201,0.0023094688221709007,0.004618937644341801,0.003464203233256351,0.003464203233256351,0.003464203233256351,0.0011547344110854503,0.0011547344110854503,0.0011547344110854503,0.0011547344110854503,,,,,
45,878,30,0.0,0.00683371298405467,0.0056947608200455585,0.9230769230769231,62.10824524420451,13,0.9749430523917996,0.002277904328018223,0.004555808656036446,0.003416856492027335,0.003416856492027335,0.003416856492027335,0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,,,,,
46,891,30,0.0,0.006734006734006734,0.005611672278338945,0.9230769230769231,61.64300441007762,13,0.9741863075196409,0.002244668911335578,0.004489337822671156,0.003367003367003367,0.003367003367003367,0.003367003367003367,0.001122334455667789,0.001122334455667789,0.001122334455667789,0.002244668911335578,,,,,
