timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density
57,84,40,0.0,0.03571428571428571,1.0,0.875,11.167688953368279,5,0.9523809523809523,,,0.011904761904761904,0.011904761904761904,,0.011904761904761904,0.011904761904761904
58,80,40,0.0,0.0375,1.0,0.875,11.394869871873917,5,0.95,,,0.0125,0.0125,,0.0125,0.0125
59,80,40,0.0,0.0375,1.0,0.875,11.146789304534979,5,0.95,,,0.0125,0.0125,,0.0125,0.0125
60,79,40,0.0,0.0379746835443038,1.0,0.875,11.023973133745276,5,0.9493670886075949,,,0.012658227848101266,0.012658227848101266,,0.012658227848101266,0.012658227848101266
61,78,40,0.0,0.038461538461538464,1.0,0.875,10.890776500503321,5,0.9487179487179487,,,0.01282051282051282,0.01282051282051282,,0.01282051282051282,0.01282051282051282
62,73,40,0.0,0.0410958904109589,1.0,0.875,11.383342472761846,5,0.9452054794520548,,,0.0136986301369863,0.0136986301369863,,0.0136986301369863,0.0136986301369863
63,72,40,0.0,0.041666666666666664,1.0,0.875,11.407797961217364,5,0.9444444444444444,,,0.013888888888888888,0.013888888888888888,,0.013888888888888888,0.013888888888888888
64,72,40,0.0,0.041666666666666664,1.0,0.875,11.262970171967801,5,0.9444444444444444,,,0.013888888888888888,0.013888888888888888,,0.013888888888888888,0.013888888888888888
65,70,40,0.0,0.04285714285714286,1.0,0.875,11.406653927263845,5,0.9428571428571428,,,0.014285714285714285,0.014285714285714285,,0.014285714285714285,0.014285714285714285
66,70,40,0.0,0.04285714285714286,1.0,0.875,11.290804905121178,5,0.9428571428571428,,,0.014285714285714285,0.014285714285714285,,0.014285714285714285,0.014285714285714285
67,70,40,0.0,0.04285714285714286,1.0,0.875,11.171163185675852,5,0.9428571428571428,,,0.014285714285714285,0.014285714285714285,,0.014285714285714285,0.014285714285714285
68,68,40,0.0,0.04411764705882353,1.0,0.875,11.369607620727365,5,0.9411764705882353,,,0.014705882352941176,0.014705882352941176,,0.014705882352941176,0.014705882352941176
69,67,40,0.0,0.04477611940298507,1.0,0.875,11.473401156519738,5,0.9402985074626866,,,0.014925373134328358,0.014925373134328358,,0.014925373134328358,0.014925373134328358
70,67,40,0.0,0.04477611940298507,1.0,0.875,11.375373348176183,5,0.9402985074626866,,,0.014925373134328358,0.014925373134328358,,0.014925373134328358,0.014925373134328358
71,66,40,0.0,0.045454545454545456,1.0,0.875,11.518048510427981,5,0.9393939393939394,,,0.015151515151515152,0.015151515151515152,,0.015151515151515152,0.015151515151515152
72,66,40,0.0,0.045454545454545456,1.0,0.875,11.48804140685132,5,0.9393939393939394,,,0.015151515151515152,0.015151515151515152,,0.015151515151515152,0.015151515151515152
73,66,40,0.0,0.045454545454545456,1.0,0.875,11.421089069830613,5,0.9393939393939394,,,0.015151515151515152,0.015151515151515152,,0.015151515151515152,0.015151515151515152
74,66,40,0.0,0.045454545454545456,1.0,0.875,11.36142685742537,5,0.9393939393939394,,,0.015151515151515152,0.015151515151515152,,0.015151515151515152,0.015151515151515152
75,65,40,0.0,0.046153846153846156,1.0,0.875,11.487471312702125,5,0.9384615384615385,,,0.015384615384615385,0.015384615384615385,,0.015384615384615385,0.015384615384615385
76,65,40,0.0,0.046153846153846156,1.0,0.875,11.457337206988417,5,0.9384615384615385,,,0.015384615384615385,0.015384615384615385,,0.015384615384615385,0.015384615384615385
