timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_19_density,genotype_16_density,genotype_17_density,genotype_20_density,genotype_24_density,genotype_15_density,genotype_18_density,genotype_22_density,genotype_25_density,genotype_28_density
46,1362,60,0.0,0.00881057268722467,0.009544787077826725,0.95,61.09168759256167,20,0.9676945668135095,0.0014684287812041115,0.0022026431718061676,,0.0022026431718061676,0.0022026431718061676,0.0022026431718061676,,,0.002936857562408223,,0.0022026431718061676,0.0022026431718061676,0.004405286343612335,,,,,,,,,,,
47,1384,60,0.0,0.008670520231213872,0.00939306358381503,0.95,60.549743701967344,20,0.9667630057803468,0.001445086705202312,0.002167630057803468,,0.002167630057803468,0.002167630057803468,0.002890173410404624,,,0.002890173410404624,,0.002167630057803468,0.002167630057803468,0.004335260115606936,,,,,,,,,,,
48,1400,60,0.0,0.009285714285714286,0.009285714285714286,0.9523809523809523,60.02026586824593,21,0.9664285714285714,0.0014285714285714286,0.002142857142857143,,0.002142857142857143,0.002142857142857143,0.002857142857142857,,,0.002857142857142857,,0.002142857142857143,0.002142857142857143,0.004285714285714286,,,,,,,,,,,
49,1412,60,0.0,0.009206798866855524,0.009915014164305949,0.9523809523809523,59.49909917006068,21,0.9660056657223796,0.00141643059490085,0.002124645892351275,,0.002124645892351275,0.002124645892351275,0.0028328611898017,,,0.0028328611898017,,0.002124645892351275,0.002124645892351275,0.004957507082152974,,,,,,,,,,,
50,1429,60,0.0,0.009097270818754374,0.00979706088173548,0.9545454545454546,58.97750910739837,22,0.9657102869139258,0.0013995801259622112,0.002099370188943317,,0.002099370188943317,0.002099370188943317,0.0027991602519244225,,,0.0027991602519244225,,0.002099370188943317,0.002099370188943317,0.00489853044086774,,,,,,,,,,,
51,1437,60,0.0,0.009046624913013222,0.009742519137091163,0.9545454545454546,58.45614995822826,22,0.965205288796103,0.0013917884481558804,0.0020876826722338203,,0.0020876826722338203,0.0020876826722338203,0.0027835768963117608,,,0.0027835768963117608,,0.0020876826722338203,0.0027835768963117608,0.0048712595685455815,,,,,,,,,,,
52,1451,60,0.0,0.00895933838731909,0.009648518263266712,0.9545454545454546,57.95026868253284,22,0.9648518263266712,,0.002067539627842867,,0.002067539627842867,0.002067539627842867,0.0027567195037904893,,,0.0027567195037904893,,0.002067539627842867,0.0027567195037904893,0.004824259131633356,0.002067539627842867,,,,,,,,,,
53,1466,60,0.0,0.008867667121418827,0.010914051841746248,0.9583333333333334,57.45123869454159,24,0.9624829467939973,,0.0020463847203274215,,0.0020463847203274215,0.0020463847203274215,0.002728512960436562,,,0.002728512960436562,,0.0020463847203274215,0.002728512960436562,0.0047748976807639835,0.0020463847203274215,,,,,,,,,,
54,1484,60,0.0,0.00876010781671159,0.01078167115902965,0.9583333333333334,56.93678225193463,24,0.9615902964959568,,0.0020215633423180594,,0.0020215633423180594,0.0026954177897574125,0.0033692722371967657,,,0.0026954177897574125,,0.0020215633423180594,0.0026954177897574125,0.0047169811320754715,0.0020215633423180594,,,,,,,,,,
55,1498,60,0.0,0.009345794392523364,0.010680907877169559,0.96,56.42557313421902,25,0.9606141522029372,,0.0020026702269692926,,0.0020026702269692926,0.0026702269692923898,0.0033377837116154874,,,0.0026702269692923898,,0.0020026702269692926,0.0033377837116154874,0.004672897196261682,0.0020026702269692926,,,,,,,,,,
56,1506,60,0.0,0.009296148738379814,0.010624169986719787,0.96,55.903527628274354,25,0.9601593625498008,,0.00199203187250996,,0.00199203187250996,0.0026560424966799467,0.0033200531208499337,,,0.0026560424966799467,0.00199203187250996,0.00199203187250996,0.0033200531208499337,0.004648074369189907,,,,,,,,,,,
57,1513,60,0.0,0.009253139458030404,0.010575016523463317,0.96,55.37838302687494,25,0.9603436880370125,,0.0019828155981493722,,0.0019828155981493722,0.0026437541308658294,0.003304692663582287,,,0.0026437541308658294,0.0019828155981493722,0.0019828155981493722,0.003304692663582287,0.004626569729015202,,,,,,,,,,,
58,1520,60,0.0,0.009210526315789473,0.010526315789473684,0.96,54.86077126931532,25,0.9605263157894737,,0.001973684210526316,,0.001973684210526316,0.002631578947368421,0.003289473684210526,,,0.002631578947368421,0.001973684210526316,0.001973684210526316,0.003289473684210526,0.004605263157894736,,,,,,,,,,,
59,1535,60,0.0,0.009120521172638436,0.010423452768729642,0.9629629629629629,54.38068756419795,27,0.958957654723127,,0.001954397394136808,,0.001954397394136808,0.0026058631921824105,0.003257328990228013,,,0.0026058631921824105,0.001954397394136808,0.001954397394136808,0.003257328990228013,0.004560260586319218,,,,,,,,,,,
60,1553,60,0.0,0.009658725048293626,0.01159047005795235,0.9642857142857143,53.91266508843387,28,0.9568576947842885,,0.0019317450096587251,,0.0019317450096587251,0.0025756600128783,0.003219575016097875,,,0.0025756600128783,0.0019317450096587251,,0.003219575016097875,0.004507405022537025,0.0025756600128783,,,,,,,,,,
61,1565,60,0.0,0.009584664536741214,0.011501597444089457,0.9642857142857143,53.39894194402414,28,0.9571884984025559,,0.0019169329073482429,,0.0019169329073482429,0.0025559105431309905,0.003194888178913738,,,0.0025559105431309905,0.0019169329073482429,,0.003194888178913738,0.0044728434504792336,0.0025559105431309905,,,,,,,,,,
62,1575,60,0.0,0.009523809523809525,0.012063492063492064,0.9642857142857143,52.887724120069,28,0.9568253968253968,,0.0019047619047619048,,0.0019047619047619048,0.0025396825396825397,0.0031746031746031746,,,0.0025396825396825397,0.0019047619047619048,,0.0031746031746031746,0.0044444444444444444,0.0025396825396825397,,,,,,,,,,
63,1577,60,0.0,0.009511731135066582,0.9689283449587826,0.9642857142857143,41.01407158242638,28,0.9568801521876982,,0.0019023462270133164,,0.0019023462270133164,0.0025364616360177552,0.0031705770450221942,,,0.0025364616360177552,0.0019023462270133164,,0.0031705770450221942,0.004438807863031071,0.0025364616360177552,,,,,,,,,,
64,1533,60,0.0,0.009784735812133072,0.9680365296803652,0.9642857142857143,30.1248573543325,28,0.9556425309849967,,0.0019569471624266144,,0.0019569471624266144,0.002609262883235486,0.0032615786040443573,,,0.002609262883235486,0.0019569471624266144,,0.0032615786040443573,0.0045662100456621,0.002609262883235486,,,,,,,,,,
65,1292,60,0.0,0.011609907120743035,0.9636222910216719,0.9642857142857143,23.17915160788455,28,0.9504643962848297,,,,0.0023219814241486067,0.0030959752321981426,0.003869969040247678,,,0.0030959752321981426,0.0023219814241486067,,0.003869969040247678,0.005417956656346749,0.0030959752321981426,0.0023219814241486067,,,,,,,,,
66,943,60,0.0,0.015906680805938492,0.968186638388123,0.9642857142857143,21.697618855449345,27,0.9554612937433722,,,0.0021208907741251328,,0.003181336161187699,0.0021208907741251328,,,,,,0.0021208907741251328,0.003181336161187699,0.0042417815482502655,,0.0021208907741251328,0.0021208907741251328,0.0021208907741251328,,,,,,
67,733,60,0.0,0.020463847203274217,0.9645293315143247,0.9642857142857143,21.263038097932576,27,0.9495225102319236,,,0.002728512960436562,,,0.002728512960436562,,,,,,,0.004092769440654843,0.004092769440654843,0.002728512960436562,0.002728512960436562,0.002728512960436562,0.002728512960436562,0.002728512960436562,,,,,
68,613,60,0.0,0.024469820554649267,0.9624796084828712,0.9642857142857143,20.710180702179844,27,0.9477977161500816,0.0016313213703099511,,0.0032626427406199023,0.0016313213703099511,,,0.0016313213703099511,0.0016313213703099511,,,,,,0.004893964110929853,0.0032626427406199023,0.0032626427406199023,0.0032626427406199023,,,,,,,
69,541,60,0.0,0.027726432532347505,0.9593345656192237,0.9642857142857143,19.809966905537095,27,0.944547134935305,0.0018484288354898336,,0.0036968576709796672,0.0018484288354898336,,,0.0018484288354898336,0.0018484288354898336,,,0.0018484288354898336,,,0.005545286506469501,0.0036968576709796672,,,,,0.0018484288354898336,,,,
70,476,60,0.0,0.031512605042016806,0.957983193277311,0.9642857142857143,19.36844891356849,26,0.9453781512605042,0.0021008403361344537,,0.0021008403361344537,0.0021008403361344537,,,0.0021008403361344537,0.0021008403361344537,0.0021008403361344537,,0.0021008403361344537,,,0.004201680672268907,,,,,,0.0021008403361344537,,,,
71,432,60,0.0,0.034722222222222224,0.9560185185185185,0.9642857142857143,18.695737270522482,25,0.9421296296296297,0.0023148148148148147,,0.0023148148148148147,0.0023148148148148147,,,,0.0023148148148148147,0.0023148148148148147,,0.0023148148148148147,,,0.004629629629629629,,,,,,0.0023148148148148147,0.0023148148148148147,,,
72,397,60,0.0,0.037783375314861464,0.9521410579345088,0.9642857142857143,18.019540156088247,25,0.9370277078085643,0.0025188916876574307,,0.0025188916876574307,0.0025188916876574307,,,,0.0025188916876574307,0.0025188916876574307,,0.0025188916876574307,,,0.005037783375314861,,,,,,0.0025188916876574307,0.0025188916876574307,,,
73,373,60,0.0,0.040214477211796246,0.9490616621983914,0.9642857142857143,17.19058180168406,25,0.9329758713136729,0.002680965147453083,,0.002680965147453083,0.002680965147453083,,,,0.002680965147453083,0.002680965147453083,,0.002680965147453083,,,0.005361930294906166,,,,,,0.002680965147453083,0.002680965147453083,,,
74,346,60,0.0,0.04335260115606936,0.9479768786127167,0.9642857142857143,16.6698444781056,25,0.930635838150289,0.002890173410404624,,0.002890173410404624,0.002890173410404624,,,,0.002890173410404624,0.002890173410404624,,0.002890173410404624,,,,,,0.002890173410404624,,,0.002890173410404624,0.002890173410404624,,,
75,326,60,0.0,0.046012269938650305,0.950920245398773,0.9642857142857143,16.04926822088465,23,0.9325153374233128,0.003067484662576687,,,,,,,0.003067484662576687,0.003067484662576687,,0.003067484662576687,,0.003067484662576687,,,,0.003067484662576687,,,0.003067484662576687,0.003067484662576687,0.003067484662576687,,
76,304,60,0.0,0.049342105263157895,0.9539473684210527,0.9642857142857143,15.710202916433092,20,0.9375,0.003289473684210526,,,,,,,0.003289473684210526,0.003289473684210526,,0.003289473684210526,,0.003289473684210526,,,,0.003289473684210526,,,0.003289473684210526,0.003289473684210526,0.003289473684210526,,
77,287,60,0.0,0.05226480836236934,0.9512195121951219,0.9642857142857143,15.309470546981041,20,0.9337979094076655,0.003484320557491289,,,,,,,0.003484320557491289,0.003484320557491289,,0.003484320557491289,,0.003484320557491289,,,,0.003484320557491289,,,0.003484320557491289,0.003484320557491289,0.003484320557491289,,
78,266,60,0.0,0.05639097744360902,0.9548872180451128,0.9642857142857143,15.28967741972243,17,0.9398496240601504,0.0037593984962406013,,,,0.0037593984962406013,0.0037593984962406013,,0.0037593984962406013,,,0.0037593984962406013,,,,,,0.0037593984962406013,,,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,,
79,251,60,0.0,0.05976095617529881,0.952191235059761,0.9642857142857143,15.186045831270963,17,0.9362549800796812,0.00398406374501992,,,,0.00398406374501992,0.00398406374501992,,0.00398406374501992,,,0.00398406374501992,,,,,,0.00398406374501992,,,0.00398406374501992,0.00398406374501992,0.00398406374501992,,
80,242,60,0.0,0.06198347107438017,0.9504132231404959,0.9642857142857143,14.831619975644044,16,0.9380165289256198,0.004132231404958678,,,,0.004132231404958678,0.004132231404958678,,0.004132231404958678,,,0.004132231404958678,,,,,,0.004132231404958678,,,0.004132231404958678,0.004132231404958678,0.004132231404958678,,
