timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
23,1062,80,0.0,0.0,0.00847457627118644,0.8888888888888888,75.51548878200113,9,0.9858757062146892,0.004708097928436911,0.0009416195856873823,0.0009416195856873823,0.0009416195856873823,0.002824858757062147,0.0018832391713747645,0.0009416195856873823,0.0009416195856873823
24,1080,80,0.0,0.0,0.9944444444444445,0.8888888888888888,67.15412912628895,9,0.9861111111111112,0.004629629629629629,0.000925925925925926,0.000925925925925926,0.000925925925925926,0.002777777777777778,0.001851851851851852,0.000925925925925926,0.000925925925925926
25,1088,80,0.0,0.0,0.9944852941176471,0.8888888888888888,58.77299637645852,9,0.9862132352941176,0.004595588235294118,0.0009191176470588235,0.0009191176470588235,0.0009191176470588235,0.0027573529411764708,0.001838235294117647,0.0009191176470588235,0.0009191176470588235
26,1093,80,0.0,0.0,0.9945105215004575,0.8888888888888888,50.477686306649666,9,0.9862763037511436,0.004574565416285453,0.0009149130832570906,0.0009149130832570906,0.0009149130832570906,0.0027447392497712718,0.0018298261665141812,0.0009149130832570906,0.0009149130832570906
27,1085,80,0.0,0.0,0.9944700460829493,0.8888888888888888,42.48812017116277,9,0.9861751152073732,0.004608294930875576,0.0009216589861751152,0.0009216589861751152,0.0009216589861751152,0.0027649769585253456,0.0018433179723502304,0.0009216589861751152,0.0009216589861751152
28,1063,80,0.0,0.0,0.9943555973659455,0.8888888888888888,35.09360192124308,9,0.9868297271872061,0.0037629350893697085,0.0009407337723424271,0.0009407337723424271,0.0009407337723424271,0.0028222013170272815,0.0018814675446848542,0.0009407337723424271,0.0009407337723424271
29,947,80,0.0,0.0,0.9936642027455121,0.8888888888888888,31.108989244902,9,0.9883843717001056,0.0031678986272439284,0.0010559662090813093,0.0010559662090813093,0.0010559662090813093,0.0010559662090813093,0.0021119324181626186,0.0010559662090813093,0.0010559662090813093
30,841,80,0.0,0.0,0.9940546967895363,0.8888888888888888,27.66834958398154,9,0.990487514863258,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466,0.0011890606420927466
31,746,80,0.0,0.0,0.9932975871313673,0.8888888888888888,24.756986431748935,9,0.9892761394101877,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416,0.0013404825737265416
32,649,80,0.0,0.0,0.9922958397534669,0.8888888888888888,22.942584231066807,9,0.987673343605547,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256,0.0015408320493066256
