timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
48,1692,100,0.0,0.004137115839243499,0.000591016548463357,0.9166666666666666,61.75407077923416,12,0.9869976359338062,0.000591016548463357,0.002364066193853428,0.0017730496453900709,0.002364066193853428,0.000591016548463357,0.000591016548463357,0.001182033096926714,,0.001182033096926714,0.001182033096926714,,,,,,
49,1713,100,0.0,0.004086398131932283,0.0005837711617046118,0.9166666666666666,61.367664009149124,12,0.9871570344424986,0.0005837711617046118,0.002335084646818447,0.0017513134851138354,0.002335084646818447,0.0005837711617046118,0.0005837711617046118,0.0011675423234092236,,0.0011675423234092236,0.0011675423234092236,,,,,,
50,1729,100,0.0,0.004048582995951417,0.000578368999421631,0.9166666666666666,60.99183963497094,12,0.9866975130133024,0.000578368999421631,0.002313475997686524,0.001735106998264893,0.002313475997686524,0.000578368999421631,,0.001156737998843262,,0.001156737998843262,0.001156737998843262,0.001156737998843262,,,,,
51,1746,100,0.0,0.004009163802978236,0.000572737686139748,0.9166666666666666,60.61957228851102,12,0.9868270332187858,0.000572737686139748,0.002290950744558992,0.001718213058419244,0.002290950744558992,0.000572737686139748,,0.001145475372279496,,0.001145475372279496,0.001145475372279496,0.001145475372279496,,,,,
52,1769,100,0.0,0.00395703787450537,0.0005652911249293386,0.9166666666666666,60.24911606589769,12,0.9869983041266253,0.0005652911249293386,0.0022611644997173543,0.0016958733747880158,0.0022611644997173543,0.0005652911249293386,,0.0011305822498586771,,0.0011305822498586771,0.0011305822498586771,0.0011305822498586771,,,,,
53,1791,100,0.0,0.003908431044109436,0.0005583472920156337,0.9166666666666666,59.88545069411621,12,0.9871580122836404,0.0005583472920156337,0.002233389168062535,0.0016750418760469012,0.002233389168062535,0.0005583472920156337,,0.0011166945840312675,,0.0011166945840312675,0.0011166945840312675,0.0011166945840312675,,,,,
54,1810,100,0.0,0.0038674033149171273,0.0005524861878453039,0.9166666666666666,59.52789798071045,12,0.9867403314917127,0.0005524861878453039,0.0022099447513812156,0.0016574585635359116,0.0022099447513812156,,0.0011049723756906078,0.0011049723756906078,,0.0011049723756906078,0.0011049723756906078,0.0011049723756906078,,,,,
55,1836,100,0.0,0.004357298474945534,0.0005446623093681918,0.9166666666666666,59.176891297137324,12,0.9863834422657952,,0.002178649237472767,0.0016339869281045752,0.002178649237472767,0.0010893246187363835,0.0010893246187363835,0.0010893246187363835,,0.0010893246187363835,0.0010893246187363835,0.0010893246187363835,,,,,
56,1853,100,0.0,0.004317323259579061,0.0005396654074473826,0.9166666666666666,58.82653102459356,12,0.9865083648138154,,0.0021586616297895305,0.0016189962223421479,0.0021586616297895305,0.0010793308148947653,0.0010793308148947653,0.0010793308148947653,,0.0010793308148947653,0.0010793308148947653,0.0010793308148947653,,,,,
57,1872,100,0.0,0.004273504273504274,0.0005341880341880342,0.9166666666666666,58.48346790072345,12,0.9866452991452992,,0.002136752136752137,0.0016025641025641025,0.002136752136752137,0.0010683760683760685,0.0010683760683760685,0.0010683760683760685,,0.0010683760683760685,0.0010683760683760685,0.0010683760683760685,,,,,
